City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Mzimba,MW,-11.9,33.6,80.64,21,6,13.58,
125,Pisco,PE,-13.7,-76.2167,59.05,82,100,5.75,
126,Petatlan,MX,17.5167,-101.2667,74.68,88,97,3.33,
127,Puerto Colombia,CO,10.9878,-74.9547,77.09,81,100,2.84,
128,Panaba,MX,21.2833,-88.2667,66.67,86,6,1.7,
129,La Plata,AR,-34.9215,-57.9545,58.03,87,92,3.31,
130,Srbac,BA,45.0978,17.525,62.73,52,83,1.19,
131,Basco,PH,20.4487,121.9702,83.03,77,10,18.61,
132,Ribeira Grande,PT,38.5167,-28.7,72.0,88,75,6.91,
133,Balsas,BR,-7.5325,-46.0356,73.96,46,29,3.83,
134,Sovik,NO,65.9333,12.4667,50.41,88,75,20.0,
135,Alekseyevsk,RU,57.8406,108.3492,35.22,71,95,1.14,
136,Tilichiki,RU,60.4667,166.1,33.8,77,51,18.21,
137,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,12.66,
138,Saskylakh,RU,71.9167,114.0833,14.02,92,89,12.1,
139,Leningradskiy,RU,69.3833,178.4167,29.89,97,100,7.87,
140,Sao Filipe,CV,14.8961,-24.4956,79.7,82,96,9.84,
141,Bereda,ES,43.2686,-7.5406,66.42,94,96,6.58,
142,Huesca,ES,42.1362,-0.4087,73.09,74,40,2.3,
143,Surovatikha,RU,55.7652,43.8984,45.25,74,94,9.84,
144,Kachkanar,RU,58.7,59.4948,44.87,83,100,3.83,
145,Iringa,TZ,-7.7667,35.7,78.64,17,9,9.95,
146,Havelock,US,34.8791,-76.9013,58.95,95,0,4.36,
147,Trairi,BR,-3.2778,-39.2689,78.49,74,33,13.31,
148,Saquena,PE,-4.6667,-73.5167,74.26,83,35,2.3,
149,Clyde River,CA,70.4692,-68.5914,23.23,80,100,11.5,
150,Georgetown,MY,5.4112,100.3354,85.95,83,20,6.91,
151,Kaoma,ZM,-14.7833,24.8,92.48,11,18,11.3,
152,Chokurdakh,RU,70.6333,147.9167,18.75,96,78,8.39,
153,Santa Rosa,PH,14.3122,121.1114,90.1,76,97,12.33,
154,Swadlincote,GB,52.774,-1.5574,57.76,79,0,17.27,
155,Charters Towers,AU,-20.1,146.2667,77.41,56,62,18.37,
156,Cayenne,GF,4.9333,-52.3333,71.64,100,75,2.3,
157,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,52.25,59,7,2.39,
158,Shimoda,JP,34.6667,138.95,54.1,89,100,19.3,
159,Saravan,AM,39.7196,45.6483,75.83,17,30,11.03,
160,Namibe,AO,-15.1961,12.1522,72.23,68,0,13.8,
161,Kruisfontein,ZA,-34.0033,24.7314,67.89,51,98,13.71,
162,Keetmanshoop,NA,-26.5833,18.1333,77.47,11,1,7.11,
163,Port Blair,IN,11.6667,92.75,84.24,79,40,5.75,
164,Nanortalik,GL,60.1432,-45.2371,34.79,82,8,12.77,
165,Vostok,RU,46.4856,135.8833,30.78,62,65,4.07,
166,Kapaa,US,22.0752,-159.319,73.38,76,0,5.75,
167,Yerofey Pavlovich,RU,53.9667,121.9667,32.97,52,29,4.41,
168,Yatou,CN,37.15,122.3833,54.63,53,100,10.0,
169,Seoul,KR,37.5683,126.9778,62.17,72,75,5.75,
170,Tamandare,BR,-8.7597,-35.1047,75.63,88,42,5.37,
171,Paita,PE,-5.0892,-81.1144,60.69,87,13,10.69,
172,Faya,SA,18.3851,42.4509,78.91,21,35,4.09,
173,Bethel,US,41.3712,-73.414,57.56,91,0,3.44,
174,Novorudnyy,RU,51.5026,58.1873,59.79,21,100,15.48,
175,Necochea,AR,-38.5473,-58.7368,52.57,82,100,6.85,
176,Xifeng,CN,42.7372,124.7222,43.09,52,99,4.43,
177,Vanderhoof,CA,54.0166,-124.0198,50.2,84,100,1.48,
178,Boende,CD,-0.2167,20.8667,83.55,55,98,1.34,
179,Oussouye,SN,12.485,-16.5469,86.09,72,13,7.05,
180,Tabou,CI,4.423,-7.3528,78.51,82,100,3.06,
181,Upernavik,GL,72.7868,-56.1549,19.53,83,100,7.56,
182,Alim,PH,9.5649,122.4876,84.7,77,100,2.82,
183,Superior,US,46.7208,-92.1041,52.7,84,0,11.5,
184,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,64,20,19.57,
185,Gardanne,FR,43.4549,5.4691,69.13,64,28,5.03,
186,Lagoa,PT,39.05,-27.9833,69.66,85,100,12.48,
187,Buribay,RU,51.9617,58.1592,58.15,26,100,13.73,
188,Sorland,NO,67.667,12.6934,49.6,74,64,25.66,
189,Sorkjosen,NO,69.8,20.9333,44.6,81,75,2.3,
190,Lethem,GY,3.3803,-59.7968,75.25,83,57,5.82,
191,Jimeta,NG,9.2833,12.4667,82.63,78,20,6.91,
192,Palmeiras De Goias,BR,-16.805,-49.9258,71.29,76,91,2.62,
193,Galveston,US,29.3669,-94.9669,74.97,75,0,0.0,
194,Bambamarca,PE,-6.6833,-78.5333,50.77,88,76,2.82,
195,Margate,GB,51.3813,1.3862,59.7,68,1,5.01,
196,Sioux Lookout,CA,50.1001,-91.917,33.87,93,100,12.66,
197,Lebanon,US,36.2081,-86.2911,54.97,87,40,0.0,
198,Warangal,IN,18.0,79.5833,75.2,91,100,7.4,
199,Pouembout,NC,-21.1333,164.9,71.38,68,100,6.11,
200,Zyryanka,RU,65.75,150.85,22.68,89,100,26.26,
201,Kantunilkin,MX,21.0917,-87.45,66.61,89,4,1.03,
202,Mizque,BO,-17.941,-65.3402,61.23,35,43,5.39,
203,Cockburn Town,TC,21.4612,-71.1419,82.62,76,68,10.36,
204,Birao,CF,10.2849,22.7882,86.68,58,62,0.51,
205,Port-Cartier,CA,50.0334,-66.8654,48.42,93,64,3.58,
206,Ambilobe,MG,-13.2,49.05,94.35,27,6,13.51,
207,Nikolskoye,RU,59.7035,30.7861,55.29,87,100,11.52,
208,Reporoa,NZ,-38.4333,176.35,36.41,60,3,2.51,
209,Touros,BR,-5.1989,-35.4608,78.03,79,22,10.92,
210,Pacifica,US,37.6138,-122.4869,61.84,94,20,9.22,
211,Roald,NO,62.5833,6.1333,54.75,81,75,25.32,
212,Beidao,CN,34.5686,105.8933,59.86,60,100,1.21,
213,Fortuna,US,40.5982,-124.1573,56.93,87,68,2.93,
214,Richards Bay,ZA,-28.783,32.0377,96.89,33,0,7.05,
215,Kavieng,PG,-2.5744,150.7967,82.76,77,85,13.94,
216,Cidreira,BR,-30.1811,-50.2056,63.7,91,100,15.77,
217,Jasper,US,37.2001,-94.3502,56.98,76,0,0.0,
218,Nelson Bay,AU,-32.7167,152.15,64.45,91,100,13.0,
219,Lebu,CL,-37.6167,-73.65,50.59,96,100,13.82,
220,Port Elizabeth,ZA,-33.918,25.5701,70.11,57,20,18.41,
221,Grand-Lahou,CI,5.1367,-5.0242,79.5,78,65,5.99,
222,Nur,PL,52.6683,22.3221,61.99,66,8,15.57,
223,Sibolga,ID,1.7427,98.7792,79.93,82,100,0.69,
224,Rawson,AR,-43.3002,-65.1023,55.65,44,0,21.03,
225,Miguel Calmon,BR,-11.4289,-40.595,67.35,85,98,5.26,
226,Tevaitoa,PF,-16.7833,-151.5,77.65,76,11,26.31,
227,Turkistan,KZ,43.0,68.0,73.56,17,0,25.37,
228,Aklavik,CA,68.2191,-135.0107,29.62,89,76,7.61,
229,Pesaro,IT,43.9036,12.8903,72.95,79,84,1.01,
230,Trinidad,BO,-14.8333,-64.9,74.82,83,69,4.18,
231,Lorengau,PG,-2.0226,147.2712,82.24,79,28,9.44,
232,Tiksi,RU,71.6872,128.8694,23.32,89,99,17.87,
233,Poitiers,FR,46.5833,0.3333,61.25,45,0,9.22,
