City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
116,Quatre Cocos,MU,77.11,-20.2078,57.7625,Sunrise Attitude Hotel
117,Benghazi,LY,75.97,32.1167,20.0667,Tibesti Hotel
119,Kandrian,PG,80.35,-6.2167,149.55,Kandrian Station
124,Mzimba,MW,80.64,-11.9,33.6,Zagegs Hotel
126,Petatlan,MX,74.68,17.5167,-101.2667,Hotel California Petatlán
127,Puerto Colombia,CO,77.09,10.9878,-74.9547,Hotel El Emigrante
131,Basco,PH,83.03,20.4487,121.9702,Nathaniel's Lodge
132,Ribeira Grande,PT,72.0,38.5167,-28.7,Quinta da Meia Eira
133,Balsas,BR,73.96,-7.5325,-46.0356,Novo Hotel
140,Sao Filipe,CV,79.7,14.8961,-24.4956,Hotel Xaguate
142,Huesca,ES,73.09,42.1362,-0.4087,Hotel Sancho Abarca SPA Huesca
145,Iringa,TZ,78.64,-7.7667,35.7,M.R. Hotels ltd.
147,Trairi,BR,78.49,-3.2778,-39.2689,janelas do mar
150,Georgetown,MY,85.95,5.4112,100.3354,Cititel Penang
155,Charters Towers,AU,77.41,-20.1,146.2667,Cattleman's Rest Motor Inn
156,Cayenne,GF,71.64,4.9333,-52.3333,Hôtel Le Dronmi
160,Namibe,AO,72.23,-15.1961,12.1522,Hotel Chik Chik Namibe
163,Port Blair,IN,84.24,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
166,Kapaa,US,73.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
170,Tamandare,BR,75.63,-8.7597,-35.1047,Pousada 100 Passos
172,Faya,SA,78.91,18.3851,42.4509,شيلة نسايم
179,Oussouye,SN,86.09,12.485,-16.5469,Auberge du Routard
180,Tabou,CI,78.51,4.423,-7.3528,hotêl doufoulougou
182,Alim,PH,84.7,9.5649,122.4876,Eden Island Resort and Spa
184,Puerto Del Rosario,ES,74.95,28.5004,-13.8627,Hotel JM Puerto del Rosario
190,Lethem,GY,75.25,3.3803,-59.7968,Savannah Inn
191,Jimeta,NG,82.63,9.2833,12.4667,Yola International Hotel
192,Palmeiras De Goias,BR,71.29,-16.805,-49.9258,Hotel Água Virada
193,Galveston,US,74.97,29.3669,-94.9669,Crystal Suites
198,Warangal,IN,75.2,18.0,79.5833,Capital O 66968 Haveli The Landmark
199,Pouembout,NC,71.38,-21.1333,164.9,Camping de Tipenga
203,Cockburn Town,TC,82.62,21.4612,-71.1419,Osprey Beach Hotel
209,Touros,BR,78.03,-5.1989,-35.4608,INN NEW HORIZON
215,Kavieng,PG,82.76,-2.5744,150.7967,Nusa Island Retreat
220,Port Elizabeth,ZA,70.11,-33.918,25.5701,39 On Nile Guest House
221,Grand-Lahou,CI,79.5,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
223,Sibolga,ID,79.93,1.7427,98.7792,Hotel Syariah CN Darussalam
226,Tevaitoa,PF,77.65,-16.7833,-151.5,Hôtel Raiatea Lodge
229,Pesaro,IT,72.95,43.9036,12.8903,Savoy
230,Trinidad,BO,74.82,-14.8333,-64.9,Hotel Piesta
231,Lorengau,PG,82.24,-2.0226,147.2712,Lorengau Harbourside Hotel
239,Bombay,IN,84.18,19.0144,72.8479,Hotel Avon Ruby-Dadar Hotels
240,Ixtapa,MX,78.22,20.7,-105.2,hotel la terminal
243,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
245,Broken Hill,AU,74.82,-31.95,141.4333,Royal Exchange Hotel
246,Rio De Janeiro,BR,72.95,-22.9028,-43.2075,Hotel cruz de ouro
247,Olinda,BR,74.93,-8.0089,-34.8553,Flat Quatro Rodas Olinda
